Test Case,Graph Size,Algorithm,Trial,Path,Cost,Dataset
Medium graph (8 nodes),8,Branch and Bound,1,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Branch and Bound,2,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Branch and Bound,3,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Branch and Bound,4,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Branch and Bound,5,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Dynamic Programming,1,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Dynamic Programming,2,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Dynamic Programming,3,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Dynamic Programming,4,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Dynamic Programming,5,"[0, 1, 6, 2, 4, 3, 5, 7, 0]",149.0,datasets\graph_8.json
Medium graph (8 nodes),8,Approximation Algorithm,1,"[0, 1, 6, 2, 7, 4, 3, 5, 0]",252.0,datasets\graph_8.json
Medium graph (8 nodes),8,Approximation Algorithm,2,"[0, 1, 6, 2, 7, 4, 3, 5, 0]",252.0,datasets\graph_8.json
Medium graph (8 nodes),8,Approximation Algorithm,3,"[0, 1, 6, 2, 7, 4, 3, 5, 0]",252.0,datasets\graph_8.json
Medium graph (8 nodes),8,Approximation Algorithm,4,"[0, 1, 6, 2, 7, 4, 3, 5, 0]",252.0,datasets\graph_8.json
Medium graph (8 nodes),8,Approximation Algorithm,5,"[0, 1, 6, 2, 7, 4, 3, 5, 0]",252.0,datasets\graph_8.json
Medium graph (10 nodes),10,Brute Force,1,"[0, 2, 7, 9, 3, 5, 1, 6, 4, 8, 0]",153.0,datasets\graph_10.json
Medium graph (10 nodes),10,Brute Force,2,"[0, 2, 7, 9, 3, 5, 1, 6, 4, 8, 0]",153.0,datasets\graph_10.json
Medium graph (10 nodes),10,Brute Force,3,"[0, 2, 7, 9, 3, 5, 1, 6, 4, 8, 0]",153.0,datasets\graph_10.json
